latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
47.63628904,-122.3710252,4,1,1,1,2,1,365,207,95,10,10,10,10,9,10,2,4.07
47.63912312,-122.3656665,4,1,1,1,1,2,90,43,96,10,10,10,10,10,10,6,1.48
47.62972413,-122.3694832,11,4.5,5,7,10,4,30,20,97,10,10,10,10,10,10,2,1.15
47.6384732,-122.3692791,3,1,0,2,1,1,1125,0,,,,,,,,1,
47.6329184,-122.3724706,6,2,3,3,6,1,1125,38,92,9,9,10,10,9,9,1,0.89
47.63052548,-122.3661741,2,1,1,1,1,1,6,17,95,10,10,10,10,10,10,1,2.45
47.63660545,-122.3685191,2,1,1,1,1,3,14,58,99,10,10,10,10,10,10,1,2.46
47.64016054,-122.375856,2,1,1,1,1,2,7,173,97,10,10,10,10,9,10,5,4.73
47.6324103,-122.3572161,2,1,1,1,1,3,1125,8,97,10,9,10,9,10,10,1,1.22
47.63749172,-122.3668886,4,1,1,1,1,2,365,32,97,10,10,10,10,10,9,6,1.55
47.63548171,-122.3584778,2,1,1,1,2,3,7,181,97,10,10,10,10,10,10,1,3.33
47.63721408,-122.3600458,2,1,1,1,1,3,1125,8,97,10,10,9,10,10,9,1,0.98
47.63554551,-122.3731708,4,1,2,3,1,3,14,13,98,10,10,10,10,10,10,1,0.92
47.62950681,-122.3676293,5,1,2,3,4,2,1125,3,100,10,10,9,9,10,10,1,3
47.63920266,-122.3658627,16,3.5,6,15,8,3,29,18,98,9,10,10,10,10,10,1,2.65
47.63564979,-122.3728928,5,1,2,2,1,3,15,1,80,8,10,8,8,8,8,1,0.73
47.62620037,-122.3666019,2,1,1,1,1,1,10,84,95,10,9,10,10,10,9,1,4.55
47.64064588,-122.3724059,2,1,1,1,1,2,14,45,98,10,10,10,10,10,10,1,4.58
47.63977587,-122.3722354,2,2,1,1,1,1,1125,0,,,,,,,,1,
47.63602478,-122.3586936,10,3.5,5,5,1,3,30,5,85,10,9,9,9,8,8,1,0.82
47.62794034,-122.3649587,1,1,1,1,1,1,1125,1,100,10,10,10,10,10,10,1,1
47.63637426,-122.3610334,3,1.5,1,2,1,1,1125,11,84,9,9,9,9,10,8,1,0.71
47.63563222,-122.3588809,8,2,4,4,1,4,1125,1,100,10,10,10,10,10,10,1,0.86
47.63339396,-122.3719199,2,1,1,1,1,1,1125,0,,,,,,,,1,
47.63851671,-122.369581,5,2.5,3,3,1,3,1125,1,100,10,10,10,10,10,10,1,0.18
47.63139735,-122.3677669,8,2.5,3,5,6,4,1125,8,100,10,10,9,10,10,10,2,1.3
